id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
208;32;JAWA BARAT;3271;KOTA BOGOR;1081.01.00;RIBU ORANG;2017
209;32;JAWA BARAT;3272;KOTA SUKABUMI;323.788;RIBU ORANG;2017
210;32;JAWA BARAT;3273;KOTA BANDUNG;2497.94;RIBU ORANG;2017
211;32;JAWA BARAT;3274;KOTA CIREBON;313.325;RIBU ORANG;2017
212;32;JAWA BARAT;3275;KOTA BEKASI;2859.63;RIBU ORANG;2017
213;32;JAWA BARAT;3276;KOTA DEPOK;2254.51.00;RIBU ORANG;2017
214;32;JAWA BARAT;3277;KOTA CIMAHI;601.099;RIBU ORANG;2017
215;32;JAWA BARAT;3278;KOTA TASIKMALAYA;661.404;RIBU ORANG;2017
216;32;JAWA BARAT;3279;KOTA BANJAR;182.388;RIBU ORANG;2017
217;32;JAWA BARAT;3201;KABUPATEN BOGOR;5840.09.00;RIBU ORANG;2018
218;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2460.07.00;RIBU ORANG;2018
219;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2260.06.00;RIBU ORANG;2018
220;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3717.03.00;RIBU ORANG;2018
221;32;JAWA BARAT;3205;KABUPATEN GARUT;2606.04.00;RIBU ORANG;2018
222;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1751.03.00;RIBU ORANG;2018
223;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1188.06.00;RIBU ORANG;2018
224;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1074.05.00;RIBU ORANG;2018
225;32;JAWA BARAT;3209;KABUPATEN CIREBON;2176.02.00;RIBU ORANG;2018
226;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1199.03.00;RIBU ORANG;2018
227;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1149.09.00;RIBU ORANG;2018
228;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1719.02.00;RIBU ORANG;2018
229;32;JAWA BARAT;3213;KABUPATEN SUBANG;1579.00.00;RIBU ORANG;2018
